,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
25,2_27,CALL,<operator>.assignment,q = p,2_____6.0,,ADD,CALL_6.0: q = p,assignment 
26,2_28,IDENTIFIER,q,q,2_____6.0,,ADD,IDENTIFIER_6.0: q,variable q 
27,2_29,IDENTIFIER,p,p,2_____6.0,,ADD,IDENTIFIER_6.0: p,variable p 
29,2_31,CONTROL_STRUCTURE,,while (iswhite(*p)),2_____7.0,WHILE,ADD,CONTROL_STRUCTURE_7.0: while (iswhite(*p)),whileStmt 
30,2_32,CALL,iswhite,iswhite(*p),2_____7.0,,ADD,CALL_7.0: iswhite(*p),funcCall iswhite 
31,2_33,CALL,<operator>.indirection,*p,2_____7.0,,ADD,CALL_7.0: *p,indirection 
32,2_34,IDENTIFIER,p,p,2_____7.0,,ADD,IDENTIFIER_7.0: p,variable p 
33,2_35,CALL,<operator>.assignment,q = ++p,2_____8.0,,ADD,CALL_8.0: q = ++p,assignment 
34,2_36,IDENTIFIER,q,q,2_____8.0,,ADD,IDENTIFIER_8.0: q,variable q 
35,2_37,CALL,<operator>.preIncrement,++p,2_____8.0,,ADD,CALL_8.0: ++p,preIncrement 
36,2_38,IDENTIFIER,p,p,2_____8.0,,ADD,IDENTIFIER_8.0: p,variable p 
37,2_39,CONTROL_STRUCTURE,,while (*p && !iswhite(*p)),2_____9.0,WHILE,ADD,CONTROL_STRUCTURE_9.0: while (*p && !iswhite(*p)),whileStmt 
38,2_40,CALL,<operator>.logicalAnd,*p && !iswhite(*p),2_____9.0,,ADD,CALL_9.0: *p && !iswhite(*p),logicalAnd 
39,2_41,CALL,<operator>.indirection,*p,2_____9.0,,ADD,CALL_9.0: *p,indirection 
40,2_42,IDENTIFIER,p,p,2_____9.0,,ADD,IDENTIFIER_9.0: p,variable p 
41,2_43,CALL,<operator>.logicalNot,!iswhite(*p),2_____9.0,,ADD,CALL_9.0: !iswhite(*p),logicalNot 
42,2_44,CALL,iswhite,iswhite(*p),2_____9.0,,ADD,CALL_9.0: iswhite(*p),funcCall iswhite 
43,2_45,CALL,<operator>.indirection,*p,2_____9.0,,ADD,CALL_9.0: *p,indirection 
44,2_46,IDENTIFIER,p,p,2_____9.0,,ADD,IDENTIFIER_9.0: p,variable p 
45,2_47,CALL,<operator>.preIncrement,++p,2_____10.0,,ADD,CALL_10.0: ++p,preIncrement 
46,2_48,IDENTIFIER,p,p,2_____10.0,,ADD,IDENTIFIER_10.0: p,variable p 
47,2_49,CONTROL_STRUCTURE,,if (!*q && !*p),2_____11.0,IF,ADD,CONTROL_STRUCTURE_11.0: if (!*q && !*p),ifStmt 
48,2_50,CALL,<operator>.logicalAnd,!*q && !*p,2_____11.0,,ADD,CALL_11.0: !*q && !*p,logicalAnd 
49,2_51,CALL,<operator>.logicalNot,!*q,2_____11.0,,ADD,CALL_11.0: !*q,logicalNot 
50,2_52,CALL,<operator>.indirection,*q,2_____11.0,,ADD,CALL_11.0: *q,indirection 
51,2_53,IDENTIFIER,q,q,2_____11.0,,ADD,IDENTIFIER_11.0: q,variable q 
52,2_54,CALL,<operator>.logicalNot,!*p,2_____11.0,,ADD,CALL_11.0: !*p,logicalNot 
53,2_55,CALL,<operator>.indirection,*p,2_____11.0,,ADD,CALL_11.0: *p,indirection 
54,2_56,IDENTIFIER,p,p,2_____11.0,,ADD,IDENTIFIER_11.0: p,variable p 
56,2_58,RETURN,,return;,2_____12.0,,ADD,RETURN_12.0: return;,return return  
57,2_59,CONTROL_STRUCTURE,,"if (!lookup_feature(pval, q, p, featureset))",2_____13.0,IF,ADD,"CONTROL_STRUCTURE_13.0: if (!lookup_feature(pval, q, p, featureset))",ifStmt 
58,2_60,CALL,<operator>.logicalNot,"!lookup_feature(pval, q, p, featureset)",2_____13.0,,ADD,"CALL_13.0: !lookup_feature(pval, q, p, featureset)",logicalNot 
59,2_61,CALL,lookup_feature,"lookup_feature(pval, q, p, featureset)",2_____13.0,,ADD,"CALL_13.0: lookup_feature(pval, q, p, featureset)",funcCall lookup_feature 
60,2_62,IDENTIFIER,pval,pval,2_____13.0,,ADD,IDENTIFIER_13.0: pval,variable pval 
61,2_63,IDENTIFIER,q,q,2_____13.0,,ADD,IDENTIFIER_13.0: q,variable q 
62,2_64,IDENTIFIER,p,p,2_____13.0,,ADD,IDENTIFIER_13.0: p,variable p 
63,2_65,IDENTIFIER,featureset,featureset,2_____13.0,,ADD,IDENTIFIER_13.0: featureset,variable featureset 
65,2_67,CALL,fprintf,"fprintf(stderr, ""error: feature \""%.*s\"" not available in set\n"",
                (int)(p - q), q)",2_____14.0,,ADD,"CALL_14.0: fprintf(stderr, ""error: feature \""%.*s\"" not available in set\n"",
                (int)(p - q), q)",funcCall fprintf 
66,2_68,IDENTIFIER,stderr,stderr,2_____14.0,,ADD,IDENTIFIER_14.0: stderr,variable stderr 
67,2_69,LITERAL,,"""error: feature \""%.*s\"" not available in set\n""",2_____14.0,,ADD,"LITERAL_14.0: ""error: feature \""%.*s\"" not available in set\n""",literal  
68,2_70,CALL,<operator>.cast,(int)(p - q),2_____15.0,,ADD,CALL_15.0: (int)(p - q),cast 
69,2_71,UNKNOWN,,int,2_____15.0,,ADD,UNKNOWN_15.0: int,int 
70,2_72,CALL,<operator>.subtraction,p - q,2_____15.0,,ADD,CALL_15.0: p - q,subtraction 
71,2_73,IDENTIFIER,p,p,2_____15.0,,ADD,IDENTIFIER_15.0: p,variable p 
72,2_74,IDENTIFIER,q,q,2_____15.0,,ADD,IDENTIFIER_15.0: q,variable q 
73,2_75,IDENTIFIER,q,q,2_____15.0,,ADD,IDENTIFIER_15.0: q,variable q 
74,2_76,CALL,<operator>.assignment,*perr = 1,2_____16.0,,ADD,CALL_16.0: *perr = 1,assignment 
75,2_77,CALL,<operator>.indirection,*perr,2_____16.0,,ADD,CALL_16.0: *perr,indirection 
76,2_78,IDENTIFIER,perr,perr,2_____16.0,,ADD,IDENTIFIER_16.0: perr,variable perr 
77,2_79,LITERAL,,1,2_____16.0,,ADD,LITERAL_16.0: 1,literal  
78,2_80,RETURN,,return;,2_____17.0,,ADD,RETURN_17.0: return;,return return  
79,2_81,METHOD_RETURN,,void,2_____1.0,,ADD,METHOD_RETURN_1.0: void,return void 
150,2_155,METHOD_PARAMETER_OUT,pval,uint32_t *pval,2_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: uint32_t *pval,variable pval 
151,2_156,METHOD_PARAMETER_OUT,str,const char *str,2_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *str,variable str 
152,2_157,METHOD_PARAMETER_OUT,featureset,const char **featureset,2_____2.0,,ADD,METHOD_PARAMETER_OUT_2.0: const char **featureset,variable featureset 
153,2_158,METHOD_PARAMETER_OUT,perr,int *perr,2_____2.0,,ADD,METHOD_PARAMETER_OUT_2.0: int *perr,variable perr 
2,3_4,TYPE_DECL,<global>,<global>,3_____1.0,,ADD,TYPE_DECL_1.0: <global>,type <global> 
3,3_5,METHOD,<global>,<global>,3_____1.0,,ADD,METHOD_1.0: <global>,
5,3_7,METHOD,listflags,"void listflags (char *buf,int bufsize,uint32_t fbits,const char **featureset,uint32_t flags)",3_____1.0,,ADD,"METHOD_1.0: void listflags (char *buf,int bufsize,uint32_t fbits,const char **featureset,uint32_t flags)",methodDecl listflags 
6,3_8,METHOD_PARAMETER_IN,buf,char *buf,3_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: char *buf,variable buf 
7,3_9,METHOD_PARAMETER_IN,bufsize,int bufsize,3_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: int bufsize,variable bufsize 
8,3_10,METHOD_PARAMETER_IN,fbits,uint32_t fbits,3_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: uint32_t fbits,variable fbits 
9,3_11,METHOD_PARAMETER_IN,featureset,const char **featureset,3_____2.0,,ADD,METHOD_PARAMETER_IN_2.0: const char **featureset,variable featureset 
10,3_12,METHOD_PARAMETER_IN,flags,uint32_t flags,3_____2.0,,ADD,METHOD_PARAMETER_IN_2.0: uint32_t flags,variable flags 
12,3_14,LOCAL,p,const char** p,3_____4.0,,ADD,LOCAL_4.0: const char** p,variable p 
13,3_15,CALL,<operator>.assignment,**p = &featureset[31],3_____4.0,,ADD,CALL_4.0: **p = &featureset[31],assignment 
14,3_16,IDENTIFIER,p,p,3_____4.0,,ADD,IDENTIFIER_4.0: p,variable p 
15,3_17,CALL,<operator>.addressOf,&featureset[31],3_____4.0,,ADD,CALL_4.0: &featureset[31],addressOf 
16,3_18,CALL,<operator>.indirectIndexAccess,featureset[31],3_____4.0,,ADD,CALL_4.0: featureset[31],indirectIndexAccess 
17,3_19,IDENTIFIER,featureset,featureset,3_____4.0,,ADD,IDENTIFIER_4.0: featureset,variable featureset 
18,3_20,LITERAL,,31,3_____4.0,,ADD,LITERAL_4.0: 31,literal  
19,3_21,LOCAL,q,char* q,3_____5.0,,ADD,LOCAL_5.0: char* q,variable q 
20,3_22,LOCAL,b,char* b,3_____5.0,,ADD,LOCAL_5.0: char* b,variable b 
21,3_23,LOCAL,bit,char bit,3_____5.0,,ADD,LOCAL_5.0: char bit,variable bit 
22,3_24,LOCAL,nc,int nc,3_____6.0,,ADD,LOCAL_6.0: int nc,variable nc 
23,3_25,CALL,<operator>.assignment,b = 4 <= bufsize ? buf + (bufsize -= 3) - 1 : NULL,3_____8.0,,ADD,CALL_8.0: b = 4 <= bufsize ? buf + (bufsize -= 3) - 1 : NULL,assignment 
24,3_26,IDENTIFIER,b,b,3_____8.0,,ADD,IDENTIFIER_8.0: b,variable b 
25,3_27,CALL,<operator>.conditional,4 <= bufsize ? buf + (bufsize -= 3) - 1 : NULL,3_____8.0,,ADD,CALL_8.0: 4 <= bufsize ? buf + (bufsize -= 3) - 1 : NULL,conditional 
26,3_28,CALL,<operator>.lessEqualsThan,4 <= bufsize,3_____8.0,,ADD,CALL_8.0: 4 <= bufsize,lessEqualsThan 
27,3_29,LITERAL,,4,3_____8.0,,ADD,LITERAL_8.0: 4,literal  
28,3_30,IDENTIFIER,bufsize,bufsize,3_____8.0,,ADD,IDENTIFIER_8.0: bufsize,variable bufsize 
